=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 13:55:35 =~=~=~=~=~=~=~=~=~=~=~=
Leader Boot Complete
Waiting for start command... Starting...
136, 27549, 564, 243, 234.2176361083
137, 27752, 570, 263, 204.7895507812
138, 27955, 564, 266, 198.6349029541
139, 28159, 570, 278, 184.2736358642
140, 28362, 548, 278, 177.2304687500
141, 28565, 548, 314, 135.9895782470
142, 28768, 548, 314, 135.9895782470
143, 28972, 594, 359, 110.2013702392
144, 29176, 567, 299, 158.0812988281
145, 29378, 573, 239, 243.8899993896
146, 29582, 567, 272, 191.2801971435
147, 29785, 573, 266, 201.4197998046
148, 29989, 567, 278, 183.3453826904
149, 30192, 548, 266, 193.4581146240
150, 30394, 543, 269, 187.5851287841
151, 30598, 548, 266, 193.4581146240
152, 30802, 542, 323, 125.0956954956
153, 31005, 573, 324, 134.1219329833
154, 31208, 543, 323, 125.4354782104
155, 31411, 549, 317, 133.3080596923
156, 31615, 543, 317, 131.2953643798
157, 31818, 542, 323, 125.0956954956
158, 32021, 549, 317, 133.3080596923
159, 32225, 543, 323, 125.4354782104
160, 32428, 549, 323, 127.4481735229
161, 32632, 543, 323, 125.4354782104
162, 32834, 548, 324, 126.1602325439
163, 33038, 543, 317, 131.2953643798
164, 33241, 543, 323, 125.4354782104
165, 33445, 549, 317, 133.3080596923
166, 33649, 542, 323, 125.0956954956
167, 33851, 548, 329, 121.4696044921
168, 34055, 543, 323, 125.4354782104
169, 34258, 548, 323, 127.1157760620
170, 34462, 542, 317, 130.9555816650
171, 34664, 542, 323, 125.0956954956
172, 34868, 549, 317, 133.3080596923
173, 35072, 543, 323, 125.4354782104
174, 35275, 548, 323, 127.1157760620
175, 35478, 543, 323, 125.4354782104
176, 35681, 549, 323, 127.4481735229
177, 35885, 542, 317, 130.9555816650
178, 36089, 566, 323, 132.9190979003
179, 36291, 549, 318, 132.3160400390
180, 36495, 543, 323, 125.4354782104
181, 36698, 548, 323, 127.1157760620
182, 36902, 543, 323, 125.4354782104
183, 37105, 549, 323, 127.4481735229
184, 37308, 546, 317, 132.3072509765
185, 37512, 567, 323, 133.2306976318
186, 37715, 549, 317, 133.3080596923
187, 37919, 542, 323, 125.0956954956
188, 38121, 549, 323, 127.4481735229
189, 38325, 543, 318, 130.3033447265
190, 38528, 548, 323, 127.1157760620
191, 38732, 549, 317, 133.3080596923
191, 39526, 543, 0, inf
192, 39729, 542, 323, 125.0956954956
193, 39932, 549, 317, 133.3080596923
194, 40136, 542, 323, 125.0956954956
195, 40338, 549, 323, 127.4481735229
196, 40542, 543, 323, 125.4354782104
197, 40745, 548, 323, 127.1157760620
198, 40949, 549, 317, 133.3080596923
199, 41152, 543, 323, 125.4354782104
200, 41355, 549, 320, 130.3506317138
201, 41559, 542, 323, 125.0956954956
202, 41762, 548, 323, 127.1157760620
203, 41965, 542, 323, 125.0956954956
204, 42168, 549, 323, 127.4481735229
205, 42372, 548, 317, 132.9756622314
206, 42576, 543, 323, 125.4354782104
207, 42779, 573, 323, 135.0774688720
208, 42982, 542, 323, 125.0956954956
209, 43185, 549, 323, 127.4481735229
210, 43389, 543, 318, 130.3033447265
211, 43592, 542, 323, 125.0956954956
212, 43795, 549, 317, 133.3080596923
213, 43999, 542, 323, 125.0956954956
213, 44794, 573, 0, inf
214, 44995, 548, 323, 127.1157760620
215, 45199, 564, 323, 132.2925720214
216, 45402, 549, 323, 127.4481735229
217, 45606, 543, 317, 131.2953643798
218, 45809, 566, 323, 132.9190979003
219, 46012, 549, 317, 133.3080596923
220, 46216, 542, 323, 125.0956954956
221, 46419, 548, 323, 127.1157760620
222, 46623, 543, 323, 125.4354782104
223, 46825, 548, 323, 127.1157760620
224, 47029, 543, 317, 131.2953643798
225, 47232, 543, 323, 125.4354782104
226, 47436, 549, 317, 133.3080596923
227, 47639, 542, 323, 125.0956954956
228, 47842, 549, 323, 127.4481735229
228, 48638, 542, 0, inf
229, 48840, 542, 323, 125.0956954956
230, 49042, 549, 323, 127.4481735229
231, 49246, 543, 317, 131.2953643798
232, 49449, 542, 323, 125.0956954956
233, 49653, 548, 323, 127.1157760620
234, 49856, 542, 323, 125.0956954956
235, 50059, 549, 323, 127.4481735229
236, 50263, 542, 323, 125.0956954956
237, 50466, 548, 323, 127.1157760620
238, 50669, 543, 317, 131.2953643798
239, 50873, 542, 323, 125.0956954956
240, 51076, 548, 317, 132.9756622314
241, 51280, 542, 323, 125.0956954956
242, 51483, 549, 323, 127.4481735229
243, 51686, 542, 317, 130.9555816650
244, 51889, 566, 323, 132.9190979003
245, 52093, 549, 317, 133.3080596923
246, 52297, 543, 323, 125.4354782104
247, 52499, 549, 323, 127.4481735229
248, 52703, 543, 323, 125.4354782104
249, 52906, 548, 323, 127.1157760620
250, 53110, 542, 317, 130.9555816650
251, 53312, 543, 323, 125.4354782104
252, 53516, 548, 317, 132.9756622314
253, 53720, 543, 323, 125.4354782104
254, 53923, 548, 323, 127.1157760620
255, 54126, 543, 323, 125.4354782104
256, 54329, 549, 323, 127.4481735229
257, 54533, 542, 317, 130.9555816650
258, 54736, 542, 323, 125.0956954956
259, 54940, 549, 317, 133.3080596923
260, 55143, 542, 323, 125.0956954956
261, 55346, 549, 323, 127.4481735229
262, 55550, 543, 323, 125.4354782104
263, 55753, 549, 323, 127.4481735229
