=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.12 13:38:03 =~=~=~=~=~=~=~=~=~=~=~=
Le Enter...
Leader Boot Complete
Performing Calibration, Please Place Sensor in Place with no Wind and Press Enter...
Calibrating...
643, 865, Calibrating...
668, 856, Calibrating...
644, 849, Calibrating...
643, 859, Calibrating...
649, 859, Calibrating...
649, 862, Calibrating...
674, 859, Calibrating...
649, 850, Calibrating...
740, 861, Calibrating...
643, 859, Calibrating...
643, 872, Calibrating...
644, 864, Calibrating...
643, 850, Calibrating...
644, 856, Calibrating...
644, 862, Calibrating...
649, 862, Calibrating...
649, 859, Calibrating...
650, 850, Calibrating...
649, 858, Calibrating...
643, 858, Calibrating...
643, 861, Calibrating...
694, 856, Calibrating...
643, 867, Calibrating...
719, 856, Calibrating...
643, 859, Calibrating...
644, 864, Calibrating...
643, 858, Calibrating...
649, 850, Calibrating...
649, 853, Calibrating...
725, 859, Calibrating...
644, 862, Calibrating...
643, 861, Calibrating...
644, 856, Calibrating...
643, 859, Calibrating...
643, 857, Calibrating...
643, 859, Calibrating...
643, 865, Calibrating...
643, 858, Calibrating...
649, 850, Calibrating...
725, 856, Calibrating...
650, 862, Calibrating...
698, 858, Calibrating...
718, 856, Calibrating...
643, 853, Calibrating...
644, 865, Calibrating...
694, 865, Calibrating...
643, 862, Calibrating...
643, 858, Calibrating...
694, 853, Calibrating...
649, 859, Calibrating...
649, 856, Calibrating...
650, 865, Calibrating...
649, 859, Calibrating...
644, 850, Calibrating...
643, 859, Calibrating...
718, 859, Calibrating...
643, 871, Calibrating...
643, 857, Calibrating...
719, 850, Calibrating...
643, 859, Calibrating...
648, 856, Calibrating...
650, 861, Calibrating...
649, 859, Calibrating...
650, 853, Calibrating...
490, 859, Calibrating...
643, 859, Calibrating...
643, 862, Calibrating...
643, 863, Calibrating...
644, 859, Calibrating...
667, 859, Calibrating...
643, 859, Calibrating...
643, 862, Calibrating...
649, 859, Calibrating...
649, 856, Calibrating...
673, 856, Calibrating...
745, 861, Calibrating...
668, 864, Calibrating...
The Error is Approximately: -200.72us.
Waiting for Start Command... Starting...
1, 116, 642, 859, -59.0232276916, -3.3741211891
2, 321, 667, 859, -50.2659149169, 1.7541504859
3, 527, 644, 862, -58.9053421020, -3.5604126453
4, 732, 643, 859, -58.6598548889, -3.1631653308
5, 938, 649, 862, -57.1108894348, -2.5155212879
6, 1144, 643, 859, -58.6598548889, -3.1631653308
7, 1350, 643, 867, -60.2711257934, -4.7744388580
8, 1554, 643, 866, -60.0713386535, -4.5746521949
9, 1760, 649, 859, -56.5031623840, -1.9077941894
10, 1966, 649, 864, -57.5137062072, -2.9183349609
11, 2172, 643, 865, -59.8710975646, -4.3744082450
12, 2378, 643, 865, -59.8710975646, -4.3744082450
13, 2583, 643, 868, -60.4704360961, -4.9737491607
14, 2788, 649, 855, -55.6862030029, -1.0908325958
15, 2994, 649, 849, -54.4463577270, 0.1490112400
16, 3200, 667, 853, -49.0376052856, 2.9824585914
17, 3406, 667, 865, -51.4771575927, 0.5429077148
18, 3612, 643, 859, -58.6598548889, -3.1631653308
19, 3816, 671, 862, -49.5330352783, 1.9396545410
20, 4022, 649, 865, -57.7144050598, -3.1190369129
21, 4228, 668, 861, -50.3348731994, 1.5475342273
22, 4434, 643, 855, -57.8428916931, -2.3462038040
23, 4640, 643, 859, -58.6598548889, -3.1631653308
24, 4844, 718, 847, -31.8180179595, 13.8244085311
25, 5050, 649, 853, -55.2748565673, -0.6794860839
26, 5256, 674, 861, -48.3358917236, 2.7319335937
27, 5462, 667, 856, -49.6539192199, 2.3661439418
28, 5668, 643, 865, -59.8710975646, -4.3744082450
29, 5874, 643, 861, -59.0654678344, -3.5687806606
30, 6078, 718, 865, -35.5032539367, 10.1391725540
31, 6284, 649, 856, -55.8911705017, -1.2958008003
32, 6490, 649, 856, -55.8911705017, -1.2958008003
33, 6696, 643, 850, -56.8109092712, -1.3142212629
34, 6902, 643, 862, -59.2675819396, -3.7708923816
35, 7107, 643, 865, -59.8710975646, -4.3744082450
36, 7312, 649, 856, -55.8911705017, -1.2958008003
37, 7518, 649, 858, -56.2996406555, -1.7042725086
38, 7724, 643, 855, -57.8428916931, -2.3462038040
39, 7930, 643, 869, -60.6692886352, -5.1726016998
40, 8136, 694, 856, -40.9047012329, 7.5828003883
41, 8340, 694, 862, -42.1244201660, 6.3630800247
42, 8546, 649, 859, -56.5031623840, -1.9077941894
43, 8752, 643, 850, -56.8109092712, -1.3142212629
44, 8958, 694, 855, -40.6997337341, 7.7877688407
45, 9164, 644, 856, -57.6856231689, -2.3406922817
46, 9368, 643, 859, -58.6598548889, -3.1631653308
47, 9574, 724, 858, -32.3571548461, 12.6133308410
48, 9780, 649, 865, -57.7144050598, -3.1190369129
49, 9986, 643, 861, -59.0654678344, -3.5687806606
50, 10192, 643, 864, -59.6703948974, -4.1737060546
51, 10398, 718, 859, -34.2920112609, 11.3504152297
52, 10603, 644, 856, -57.6856231689, -2.3406922817
53, 10808, 718, 858, -34.0884895324, 11.5539369583
54, 11014, 764, 858, -21.5099124908, 19.3391056060
55, 11220, 649, 862, -57.1108894348, -2.5155212879
56, 11426, 650, 862, -56.7553176879, -2.3080079555
57, 11631, 667, 853, -49.0376052856, 2.9824585914
58, 11837, 643, 859, -58.6598548889, -3.1631653308
59, 12043, 719, 859, -34.0014419555, 11.5279359817
60, 12249, 643, 859, -58.6598548889, -3.1631653308
61, 12454, 718, 861, -34.6976280212, 10.9448003768
62, 12660, 673, 861, -48.6665992736, 2.5356628894
63, 12865, 650, 859, -56.1475906372, -1.7002807617
64, 13071, 648, 853, -55.6315460205, -0.8874755859
65, 13277, 643, 859, -58.6598548889, -3.1631653308
66, 13483, 643, 865, -59.8710975646, -4.3744082450
67, 13689, 667, 859, -50.2659149169, 1.7541504859
68, 13894, 667, 856, -49.6539192199, 2.3661439418
69, 14099, 718, 859, -34.2920112609, 11.3504152297
70, 14305, 490, 850, -129.6518554687, -40.6951560974
71, 14511, 649, 856, -55.8911705017, -1.2958008003
72, 14717, 643, 859, -58.6598548889, -3.1631653308
73, 14923, 643, 865, -59.8710975646, -4.3744082450
74, 15128, 668, 871, -52.3350601196, -0.4526550292
75, 15334, 667, 859, -50.2659149169, 1.7541504859
76, 15539, 668, 852, -48.4945716857, 3.3878357410
77, 15745, 649, 850, -54.6542205810, -0.0588500976
78, 15951, 649, 858, -56.2996406555, -1.7042725086
79, 16157, 643, 858, -58.4563331604, -2.9596435546
80, 16362, 643, 862, -59.2675819396, -3.7708923816
81, 16568, 644, 864, -59.3081550598, -3.9632265090
82, 16774, 643, 859, -58.6598548889, -3.1631653308
83, 16979, 668, 850, -48.0803108215, 3.8020936965
84, 17185, 650, 852, -54.7129058837, -0.2655944824
85, 17390, 673, 858, -48.0574607849, 3.1447999477
86, 17596, 643, 858, -58.4563331604, -2.9596435546
87, 17802, 718, 865, -35.5032539367, 10.1391725540
88, 18008, 643, 868, -60.4704360961, -4.9737491607
89, 18214, 643, 862, -59.2675819396, -3.7708923816
