=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 11:18:20 =~=~=~=~=~=~=~=~=~=~=~=
0, 10
273046,
4811, 1134.00, 19.45
4834, 1134.00, 19.45
4857, 1134.00, 19.45
4880, 1133.00, 19.43
4902, 1134.00, 19.45
4926, 1136.00, 19.48
4948, 1134.00, 19.45
4971, 1134.00, 19.45
4995, 1134.00, 19.45
5017, 1134.00, 19.45
5040, 1134.00, 19.45
5063, 1133.00, 19.43
5086, 1134.00, 19.45
5109, 1130.00, 19.38
5132, 1134.00, 19.45
5154, 1134.00, 19.45
5178, 1128.00, 19.35
5200, 1133.00, 19.43
5223, 1134.00, 19.45
5246, 1127.00, 19.33
5269, 1136.00, 19.48
5292, 1133.00, 19.43
5315, 1127.00, 19.33
5338, 1136.00, 19.48
5360, 1133.00, 19.43
5384, 1136.00, 19.48
5406, 1134.00, 19.45
5429, 1136.00, 19.48
5452, 1133.00, 19.43
5475, 1134.00, 19.45
5497, 1134.00, 19.45
5521, 1136.00, 19.48
5543, 1134.00, 19.45
5566, 1134.00, 19.45
5590, 1133.00, 19.43
5612, 1133.00, 19.43
5635, 1134.00, 19.45
5658, 1136.00, 19.48
5681, 1133.00, 19.43
5703, 1136.00, 19.48
5727, 1136.00, 19.48
5749, 1134.00, 19.45
5772, 1133.00, 19.43
5795, 1136.00, 19.48
5818, 1136.00, 19.48
5841, 1130.00, 19.38
5864, 1133.00, 19.43
5886, 1135.00, 19.47
5910, 1130.00, 19.38
5933, 1137.00, 19.50
5955, 1136.00, 19.48
5979, 1130.00, 19.38
6001, 1136.00, 19.48
6024, 1134.00, 19.45
6047, 1128.00, 19.35
6070, 1134.00, 19.45
6092, 1133.00, 19.43
6116, 1134.00, 19.45
6138, 1134.00, 19.45
6161, 1136.00, 19.48
6184, 1134.00, 19.45
6207, 1134.00, 19.45
6230, 1134.00, 19.45
6253, 1134.00, 19.45
6276, 1134.00, 19.45
6298, 1136.00, 19.48
6322, 1134.00, 19.45
6344, 1134.00, 19.45
6367, 1136.00, 19.48
6390, 1133.00, 19.43
6413, 1136.00, 19.48
6435, 1136.00, 19.48
6459, 1136.00, 19.48
6481, 1136.00, 19.48
6504, 1136.00, 19.48
6528, 1135.00, 19.47
6550, 1134.00, 19.45
6574, 1130.00, 19.38
6596, 1136.00, 19.48
6619, 1136.00, 19.48
6642, 1127.00, 19.33
6665, 1136.00, 19.48
6687, 1136.00, 19.48
6711, 1127.00, 19.33
6733, 1136.00, 19.48
6756, 1133.00, 19.43
6779, 1128.00, 19.35
6802, 1136.00, 19.48
6824, 1134.00, 19.45
6848, 1134.00, 19.45
6871, 1133.00, 19.43
6893, 1134.00, 19.45
6917, 1134.00, 19.45
6939, 1136.00, 19.48
6962, 1133.00, 19.43
6985, 1136.00, 19.48
7008, 1136.00, 19.48
7030, 1134.00, 19.45
7054, 1134.00, 19.45
7076, 1134.00, 19.45
7099, 1133.00, 19.43
7122, 1134.00, 19.45
7145, 1137.00, 19.50
7168, 1136.00, 19.48
7191, 1136.00, 19.48
7214, 1136.00, 19.48
7236, 1133.00, 19.43
7260, 1137.00, 19.50
7282, 1134.00, 19.45
7306, 1132.00, 19.41
7328, 1133.00, 19.43
7351, 1136.00, 19.48
7374, 1127.00, 19.33
7397, 1133.00, 19.43
7419, 1136.00, 19.48
7443, 1127.00, 19.33
7465, 1136.00, 19.48
7488, 1136.00, 19.48
7512, 1130.00, 19.38
7534, 1133.00, 19.43
7557, 1134.00, 19.45
7580, 1134.00, 19.45
7603, 1133.00, 19.43
7625, 1136.00, 19.48
7649, 1134.00, 19.45
7671, 1136.00, 19.48
7694, 1136.00, 19.48
7717, 1136.00, 19.48
7740, 1134.00, 19.45
7762, 1134.00, 19.45
7786, 1133.00, 19.43
7809, 1136.00, 19.48
7831, 1136.00, 19.48
7855, 1134.00, 19.45
7877, 1134.00, 19.45
7900, 1134.00, 19.45
7923, 1134.00, 19.45
7946, 1134.00, 19.45
7968, 1136.00, 19.48
7992, 1133.00, 19.43
8014, 1134.00, 19.45
8038, 1133.00, 19.43
8060, 1136.00, 19.48
8083, 1136.00, 19.48
8107, 1130.00, 19.38
8129, 1136.00, 19.48
8152, 1137.00, 19.50
8175, 1128.00, 19.35
8198, 1136.00, 19.48
8220, 1134.00, 19.45
8244, 1128.00, 19.35
8266, 1134.00, 19.45
8289, 1136.00, 19.48
8312, 1136.00, 19.48
8335, 1134.00, 19.45
8357, 1136.00, 19.48
8381, 1137.00, 19.50
8403, 1134.00, 19.45
8426, 1134.00, 19.45
8450, 1136.00, 19.48
8472, 1136.00, 19.48
8495, 1136.00, 19.48
8518, 1134.00, 19.45
8541, 1136.00, 19.48
8563, 1134.00, 19.45
8587, 1134.00, 19.45
8609, 1136.00, 19.48
8632, 1133.00, 19.43
8655, 1134.00, 19.45
8678, 1136.00, 19.48
8700, 1134.00, 19.45
8724, 1134.00, 19.45
8747, 1133.00, 19.43
8770, 1132.00, 19.41
8793, 1136.00, 19.48
8815, 1136.00, 19.48
8839, 1128.00, 19.35
8861, 1136.00, 19.48
8884, 1134.00, 19.45
8907, 1130.00, 19.38
8930, 1134.00, 19.45
8952, 1133.00, 19.43
8976, 1128.00, 19.35
8998, 1134.00, 19.45
9021, 1134.00, 19.45
9044, 1134.00, 19.45
9067, 1134.00, 19.45
9090, 1133.00, 19.43
9113, 1134.00, 19.45
9136, 1133.00, 19.43
9158, 1136.00, 19.48
9182, 1134.00, 19.45
9204, 1137.00, 19.50
9227, 1136.00, 19.48
9250, 1134.00, 19.45
9273, 1134.00, 19.45
9295, 1136.00, 19.48
9319, 1134.00, 19.45
9341, 1134.00, 19.45
9364, 1136.00, 19.48
9388, 1136.00, 19.48
9410, 1137.00, 19.50
9433, 1133.00, 19.43
9456, 1134.00, 19.45
9479, 1136.00, 19.48
9502, 1131.00, 19.40
9525, 1134.00, 19.45
9547, 1137.00, 19.50
9571, 1130.00, 19.38
9593, 1137.00, 19.50
9616, 1137.00, 19.50
9639, 1130.00, 19.38
9662, 1134.00, 19.45
9684, 1136.00, 19.48
9708, 1129.00, 19.36
9731, 1137.00, 19.50
9753, 1136.00, 19.48
9777, 1136.00, 19.48
9799, 1136.00, 19.48
9822, 1136.00, 19.48
9845, 1136.00, 19.48
9868, 1137.00, 19.50
9890, 1136.00, 19.48
9914, 1136.00, 19.48
9936, 1136.00, 19.48
9959, 1136.00, 19.48
9982, 1136.00, 19.48
10005, 1136.00, 19.48
10029, 1136.00, 19.48
10053, 1136.00, 19.48
10077, 1136.00, 19.48
10101, 1133.00, 19.43
10125, 1136.00, 19.48
10148, 1136.00, 19.48
10173, 1130.00, 19.38
10196, 1134.00, 19.45
10220, 1136.00, 19.48
10245, 1136.00, 19.48
10268, 1134.00, 19.45
10292, 1137.00, 19.50
10316, 1134.00, 19.45
10340, 1134.00, 19.45
10363, 1136.00, 19.48
10388, 1136.00, 19.48
10412, 1137.00, 19.50
10436, 1130.00, 19.38
10460, 1136.00, 19.48
10483, 1136.00, 19.48
10508, 1130.00, 19.38
10531, 1135.00, 19.47
10555, 1136.00, 19.48
10579, 1136.00, 19.48
10603, 1136.00, 19.48
10627, 1136.00, 19.48
10651, 1136.00, 19.48
10675, 1137.00, 19.50
10698, 1136.00, 19.48
10723, 1136.00, 19.48
10746, 1136.00, 19.48
10771, 1130.00, 19.38
10795, 1136.00, 19.48
10818, 1136.00, 19.48
10843, 1136.00, 19.48
10866, 1134.00, 19.45
10890, 1136.00, 19.48
10914, 1136.00, 19.48
10938, 1136.00, 19.48
10961, 1136.00, 19.48
10986, 1136.00, 19.48
11010, 1136.00, 19.48
11034, 1130.00, 19.38
11058, 1136.00, 19.48
11081, 1136.00, 19.48
11106, 1130.00, 19.38
11129, 1137.00, 19.50
11153, 1136.00, 19.48
11177, 1134.00, 19.45
11201, 1137.00, 19.50
11225, 1136.00, 19.48
11249, 1137.00, 19.50
11273, 1137.00, 19.50
11296, 1134.00, 19.45
11321, 1137.00, 19.50
11344, 1134.00, 19.45
11369, 1131.00, 19.40
11393, 1134.00, 19.45
11416, 1137.00, 19.50
11441, 1136.00, 19.48
11464, 1133.00, 19.43
11488, 1136.00, 19.48
11512, 1134.00, 19.45
11536, 1136.00, 19.48
11559, 1134.00, 19.45
11584, 1136.00, 19.48
11608, 1134.00, 19.45
11632, 1130.00, 19.38
11656, 1134.00, 19.45
11679, 1134.00, 19.45
11704, 1131.00, 19.40
11727, 1134.00, 19.45
11751, 1137.00, 19.50
11776, 1134.00, 19.45
11799, 1136.00, 19.48
11823, 1137.00, 19.50
11847, 1134.00, 19.45
11871, 1136.00, 19.48
11894, 1136.00, 19.48
11919, 1134.00, 19.45
11942, 1135.00, 19.47
11967, 1131.00, 19.40
11991, 1137.00, 19.50
12014, 1137.00, 19.50
12039, 1130.00, 19.38
12062, 1137.00, 19.50
12086, 1137.00, 19.50
12110, 1137.00, 19.50
12134, 1134.00, 19.45
12157, 1136.00, 19.48
12182, 1136.00, 19.48
12206, 1136.00, 19.48
12229, 1134.00, 19.45
12254, 1133.00, 19.43
12277, 1137.00, 19.50
12302, 1130.00, 19.38
12325, 1136.00, 19.48
12349, 1136.00, 19.48
12374, 1133.00, 19.43
12397, 1136.00, 19.48
12421, 1136.00, 19.48
12445, 1136.00, 19.48
12469, 1136.00, 19.48
12492, 1136.00, 19.48
12517, 1136.00, 19.48
12540, 1136.00, 19.48
12565, 1131.00, 19.40
12589, 1134.00, 19.45
12612, 1134.00, 19.45
12637, 1130.00, 19.38
12660, 1136.00, 19.48
12684, 1136.00, 19.48
12708, 1136.00, 19.48
12732, 1136.00, 19.48
12755, 1137.00, 19.50
12780, 1137.00, 19.50
12804, 1133.00, 19.43
12827, 1134.00, 19.45
12852, 1136.00, 19.48
12875, 1136.00, 19.48
12900, 1128.00, 19.35
12923, 1134.00, 19.45
12947, 1136.00, 19.48
12972, 1136.00, 19.48
12995, 1134.00, 19.45
13019, 1134.00, 19.45
13043, 1136.00, 19.48
13067, 1134.00, 19.45
13090, 1134.00, 19.45
13115, 1133.00, 19.43
13138, 1136.00, 19.48
13163, 1131.00, 19.40
13187, 1137.00, 19.50
13210, 1137.00, 19.50
13235, 1128.00, 19.35
13258, 1137.00, 19.50
13282, 1134.00, 19.45
